Model,ROC_AUC,CV_Mean,CV_Std
Logistic Regression,0.8426386628432665,0.8484966673479141,0.01333673467028329
LightGBM,0.8272778940298121,0.8312077787012813,0.013766394063571122
Random Forest,0.8221873466118992,0.8228933804138441,0.012126268139589393
XGBoost,0.8099395489421064,0.8212974278013949,0.010363492369048589
